Bib,Zip,Age,Age Group,Gender,First Half,Second Half,Finish,Positive Split,Percent Change,Avg Max Temp,Max Temp,Min Temp,Avg Min Temp,Max Min Temp,Min Min Temp,Avg Mean Temp,Max Mean Temp,Min Mean Temp
1661,95628,34,Under 35,M,4451,4417,8868,-34,-0.007638733,66.85160113,78.2996,50.579597,44.14759987,53.9996,37.6196,53.6490984,63.899593,43.173355
497,94707,30,Under 35,M,4353,4518,8871,165,0.037904893,64.1954,76.5014,54.6314,45.1634,50.671402,36.4514,52.9149006,62.356396,44.630146
1946,6355,35,35-39,M,4345,4529,8874,184,0.042347526,52.82960027,68.0756,41.1656,39.8155998,50.885597,30.7256,45.89409807,56.3081,37.8131
260,63143,35,35-39,M,4293,4583,8876,290,0.067551829,68.11639907,84.4304,47.6204,47.83639987,63.280396,33.6704,57.26139853,71.55665,43.592896
296,98199,35,35-39,M,4424,4457,8881,33,0.007459313,55.40060027,61.6406,48.320602,41.52259987,45.710598,37.8806,47.11435087,51.545597,43.276855
307,84097,36,35-39,M,4333,4560,8893,227,0.052388645,51.03110047,64.129105,37.9391,30.9431,46.3091,17.779102,40.4191004,55.57535,29.344099
391,60601,34,Under 35,M,4429,4472,8901,43,0.009708738,56.012,74.57,39.829998,41.48000013,57.02,32.99,47.48100007,63.124996,36.20375
118,49720,40,40-44,F,4361,4546,8907,185,0.042421463,51.76369987,67.6517,41.1017,35.8097,42.8117,28.7717,42.93944973,51.579197,35.9417
118,49720,40,40-44,F,7009,9174,16183,2165,0.308888572,51.76369987,67.6517,41.1017,35.8097,42.8117,28.7717,42.93944973,51.579197,35.9417
478,85008,23,Under 35,M,4331,4579,8910,248,0.057261602,79.40899953,91.606995,60.467,51.69499953,60.467,43.637,64.49700093,76.61075,53.4095
830,53211,23,Under 35,M,4362,4558,8920,196,0.044933517,54.52250027,73.2425,38.5925,39.16249987,60.552498,29.5025,46.0852504,64.441246,35.738754
412,98115,30,Under 35,M,4396,4524,8920,128,0.029117379,56.15690033,62.8709,48.2909,40.4969,45.6809,36.2309,46.7463986,51.512146,42.3134
663,99835,26,Under 35,M,4284,4649,8933,365,0.085200747,39.87619987,43.6082,37.5782,32.06419973,36.2282,26.0582,35.75944927,38.11445,33.756954
233,94102,27,Under 35,M,4489,4445,8934,-44,-0.009801738,60.66800013,72.536,54.716,47.21599953,51.926,42.115997,52.8194996,57.14975,46.964752
467,15218,29,Under 35,M,4372,4573,8945,201,0.045974382,63.33079993,75.7508,44.340797,44.28079993,57.1208,30.0308,52.1242998,61.74081,39.0833
1562,28115,33,Under 35,M,4362,4584,8946,222,0.050894085,69.77689993,83.300896,57.0209,50.80490027,62.4209,38.3009,59.31289947,69.45214,48.14465
586,2141,32,Under 35,M,4448,4500,8948,52,0.011690647,54.21890087,70.6289,38.2289,38.52290013,51.3689,32.1989,45.64965053,58.490158,36.770145
997,10023,31,Under 35,M,4414,4535,8949,121,0.027412778,58.7992986,74.8013,43.5713,42.5033,55.6313,34.4813,49.71905067,64.2938,41.130054
358,2118,34,Under 35,M,4474,4476,8950,2,0.000447027,54.2072,70.6172,38.2172,38.5112,51.3572,32.1872,45.63795073,58.47845,36.758453
244,22901,37,35-39,M,4427,4529,8956,102,0.023040434,68.3101998,84.4682,53.058197,46.52419947,57.558197,32.8982,56.33045073,67.3457,45.269444
363,98004,32,Under 35,M,4392,4567,8959,175,0.039845173,56.68250047,63.4685,48.7085,40.8305,46.8185,37.2785,47.21899947,52.267246,42.476
465,13440,21,Under 35,M,4442,4519,8961,77,0.017334534,55.250301,72.4343,38.8643,36.6802998,54.974297,26.6243,44.71280107,59.25305,34.71305
375,2135,27,Under 35,M,4493,4472,8965,-21,-0.004673937,53.96150113,70.371506,37.9715,38.2655,51.1115,31.9415,45.3922498,58.232746,36.512753
881,80021,29,Under 35,M,4463,4503,8966,40,0.008962581,63.98240013,77.6984,51.5984,33.68239993,42.1484,26.128399,47.29040153,58.37465,38.7434
264,94706,29,Under 35,M,4335,4632,8967,297,0.068512111,64.7006002,78.1106,55.2506,45.60860033,51.7406,36.8906,53.36310113,62.683094,45.166855
426,98103,24,Under 35,M,4399,4569,8968,170,0.038645147,55.1555,61.3175,48.4475,42.41750027,45.8375,38.9975,47.40450193,52.27625,44.086246
872,89117,28,Under 35,M,4459,4510,8969,51,0.011437542,72.50840053,83.8364,59.8064,48.1303994,61.2464,34.6964,59.04314867,73.448906,46.422653
256,2115,27,Under 35,M,4317,4655,8972,338,0.078295112,54.23059953,70.6406,38.2406,38.53459987,51.3806,32.2106,45.66134947,58.50186,36.781845
4278,10003,31,Under 35,M,4455,4537,8992,82,0.018406285,59.39360007,76.4096,44.189598,42.25159953,55.5296,33.3896,49.9428488,64.82209,41.7146
314,2118,29,Under 35,M,4519,4486,9005,-33,-0.007302501,54.2072,70.6172,38.2172,38.5112,51.3572,32.1872,45.63795073,58.47845,36.758453
266,21412,23,Under 35,M,4260,4760,9020,500,0.117370892,63.527,80.393,52.493,46.69100053,58.253,37.103,54.22274907,69.1655,44.798004
329,19707,27,Under 35,M,4173,4849,9022,676,0.161993769,62.18029873,78.0683,48.458298,44.01830033,56.5583,34.9583,52.42205193,65.63705,43.34705
